Time (min)	Temperature (C)	Weight (mg)
9.841668	41.81808	10.57681
9.854168	41.84726	10.57672
9.866668	41.87692	10.57668
9.879166	41.90268	10.57672
9.891666	41.93884	10.57669
9.908332	41.9851	10.57672
9.920834	42.00156	10.57675
9.933334	42.03982	10.57682
9.945832	42.06026	10.57688
9.958332	42.09088	10.57688
9.975	42.12704	10.57693
9.9875	42.15776	10.5769
10	42.18881	10.57692
10.0125	42.21646	10.57694
10.025	42.24381	10.57693
10.04167	42.28094	10.57686
10.05417	42.31286	10.57684
10.06667	42.34138	10.57679
10.07917	42.36898	10.57678
10.09167	42.3988	10.57681
10.10417	42.42688	10.57685
10.11667	42.45714	10.57691
10.13333	42.49695	10.57688
10.14583	42.52319	10.57684
10.15833	42.55366	10.57674
10.17083	42.5802	10.57664
10.18333	42.61339	10.57659
10.2	42.6525	10.57656
10.2125	42.67895	10.57661
10.225	42.70891	10.57672
10.2375	42.7375	10.57682
10.25	42.76894	10.57693
10.26667	42.80468	10.57698
10.27917	42.8371	10.57701
10.29167	42.86556	10.57704
10.30417	42.89335	10.577
10.31667	42.92174	10.57698
10.32917	42.95166	10.57692
10.34167	42.98108	10.5769
10.35833	43.01853	10.57686
10.37083	43.0503	10.57684
10.38333	43.07716	10.57682
10.39583	43.11859	10.57684
10.40833	43.15341	10.57688
10.425	43.19004	10.57693
10.4375	43.22192	10.57693
10.45	43.24922	10.57694
10.4625	43.26444	10.57695
10.475	43.29186	10.57691
10.49167	43.33244	10.57692
10.50416	43.36456	10.57689
10.51666	43.38868	10.57686
10.52916	43.41702	10.57689
10.54167	43.44724	10.57687
10.55834	43.48508	10.57686
10.57083	43.51547	10.57682
10.58333	43.54597	10.57682
10.59584	43.572	10.57682
10.60834	43.60443	10.57679
10.62084	43.63536	10.5768
10.63333	43.65982	10.5768
10.65	43.70283	10.5768
10.6625	43.7274	10.57679
10.675	43.75879	10.57679
10.6875	43.80234	10.5768
10.7	43.8357	10.57676
10.71667	43.87286	10.57671
10.72917	43.90076	10.57664
10.74167	43.9287	10.57663
10.75416	43.96168	10.5766
10.76666	43.98926	10.57661
10.78333	44.02846	10.57656
10.79584	44.05608	10.57656
10.80834	44.08844	10.5766
10.82083	44.1047	10.5766
10.83333	44.1276	10.57657
10.84584	44.1591	10.57652
10.85834	44.18726	10.57649
10.875	44.22579	10.57652
10.8875	44.25454	10.57656
10.9	44.28127	10.57656
10.9125	44.31042	10.57657
10.925	44.34138	10.57661
10.94166	44.3826	10.57665
10.95416	44.40859	10.57663
10.96667	44.43922	10.57665
10.97917	44.4702	10.57664
10.99167	44.49869	10.57667
11.00833	44.53888	10.57667
11.02083	44.56756	10.57668
11.03333	44.59628	10.57666
11.04584	44.62309	10.57664
11.05834	44.65332	10.57663
11.075	44.71054	10.57664
11.0875	44.7365	10.57665
11.1	44.76896	10.57662
11.1125	44.78388	10.57662
11.125	44.81162	10.57664
11.1375	44.8399	10.57666
11.15	44.86834	10.57668
11.16667	44.9093	10.57668
11.17917	44.9468	10.57674
11.19166	44.98227	10.5768
11.20416	45.01138	10.5768
11.21667	45.03646	10.57679
11.23334	45.06338	10.5768
11.24584	45.09136	10.57683
11.25833	45.12204	10.57683
11.27083	45.15166	10.57682
11.28333	45.17515	10.5768
11.3	45.21843	10.57677
11.3125	45.24403	10.5767
11.325	45.27485	10.57661
11.3375	45.30766	10.57653
11.35	45.33796	10.57649
11.3625	45.36736	10.5765
11.375	45.3974	10.5765
11.39166	45.4347	10.57652
11.40416	45.46172	10.57656
11.41667	45.49221	10.57662
11.42917	45.5209	10.57664
11.44166	45.55153	10.57665
11.45833	45.58902	10.57664
11.47084	45.61496	10.57664
11.48334	45.64744	10.57654
11.49584	45.67554	10.57648
11.50833	45.70472	10.57646
11.525	45.75894	10.57644
11.5375	45.79036	10.57645
11.55	45.82098	10.57643
11.5625	45.84906	10.5765
11.575	45.8665	10.57655
11.59167	45.8989	10.5766
11.60417	45.9279	10.5766
11.61667	45.9577	10.57654
11.62916	45.98502	10.57651
11.64166	46.01919	10.57652
11.65416	46.04666	10.57654
11.66667	46.0742	10.57654
11.68334	46.11277	10.57658
11.69583	46.14585	10.57659
11.70833	46.17502	10.57666
11.72084	46.20388	10.57664
11.73334	46.23371	10.57664
11.75	46.27056	10.57664
11.7625	46.3005	10.5766
11.775	46.32822	10.57662
11.7875	46.36352	10.57663
11.8	46.38768	10.57662
11.81666	46.42754	10.57666
11.82916	46.4542	10.57666
11.84167	46.49	10.57669
11.85417	46.517	10.57668
11.86667	46.54466	10.57663
11.87916	46.57243	10.5766
11.89166	46.60286	10.5766
11.90833	46.64437	10.57658
11.92084	46.67108	10.57654
11.93334	46.69986	10.57653
11.94583	46.7352	10.57656
11.95833	46.75766	10.57661
11.975	46.79688	10.5766
11.9875	46.826	10.57661
12	46.85757	10.57666
12.0125	46.88916	10.57668
12.025	46.91474	10.57663
12.04167	46.95262	10.57662
12.05417	46.98347	10.57665
12.06666	47.01364	10.57657
12.07916	47.04067	10.57656
12.09167	47.0733	10.57656
12.10834	47.11045	10.5766
12.12084	47.14154	10.57657
12.13333	47.16951	10.57657
12.14583	47.1946	10.57659
12.15833	47.22778	10.57661
12.17084	47.25666	10.57664
12.18334	47.28398	10.57666
12.2	47.3244	10.57668
12.2125	47.35568	10.57666
12.225	47.38339	10.57665
12.2375	47.41284	10.57668
12.25	47.44172	10.57662
12.26666	47.48222	10.57657
12.27916	47.5107	10.57657
12.29167	47.54045	10.57655
12.30417	47.56962	10.57652
12.31666	47.59774	10.57647
12.33333	47.6376	10.57643
12.34584	47.66736	10.57644
12.35834	47.6958	10.57643
12.37084	47.7218	10.5764
12.38333	47.75209	10.57643
12.39583	47.78212	10.57648
