Time (min)	Temperature (C)	Weight (mg)
5.0875	73.13738	10.64325
5.095833	73.22152	10.64326
5.104166	73.30642	10.64325
5.1125	73.38972	10.64323
5.120834	73.47164	10.6432
5.129166	73.55836	10.64319
5.1375	73.64289	10.64318
5.145834	73.72186	10.64317
5.154167	73.81076	10.64316
5.1625	73.893	10.64315
5.170833	73.97561	10.64315
5.179167	74.05968	10.64312
5.1875	74.14378	10.64309
5.195833	74.22444	10.6431
5.204167	74.30714	10.64312
5.2125	74.39329	10.64316
5.220833	74.47871	10.64314
5.229166	74.56403	10.64315
5.2375	74.64458	10.64316
5.245834	74.72956	10.64317
5.254166	74.81556	10.64315
5.2625	74.89788	10.64314
5.270834	74.98363	10.64317
5.279168	75.06744	10.64317
5.2875	75.1504	10.6432
5.295832	75.23262	10.64318
5.304168	75.32134	10.64319
5.3125	75.40449	10.64318
5.320832	75.4845	10.64315
5.329168	75.56722	10.64314
5.3375	75.65339	10.64313
5.345832	75.73774	10.64314
5.354166	75.82265	10.64314
5.3625	75.90542	10.64313
5.370834	75.98778	10.64308
5.379166	76.07226	10.64304
5.3875	76.15738	10.64301
5.395834	76.24092	10.64302
5.404168	76.32456	10.64302
5.4125	76.40994	10.64301
5.420832	76.49022	10.64301
5.429168	76.57588	10.64299
5.4375	76.66256	10.643
5.445832	76.74397	10.64301
5.454168	76.83097	10.64301
5.4625	76.91606	10.64304
5.470832	76.99898	10.64304
5.479166	77.08262	10.64299
5.4875	77.16587	10.643
5.495834	77.24993	10.64299
5.504166	77.33425	10.64299
5.5125	77.41634	10.64298
5.520834	77.50644	10.64293
5.529168	77.58579	10.64285
5.5375	77.67151	10.64282
5.545832	77.75528	10.6428
5.554168	77.84078	10.64278
5.5625	77.92476	10.64278
5.570832	78.00818	10.64281
5.579168	78.09141	10.64283
5.5875	78.17672	10.64283
5.595832	78.26212	10.64286
5.604166	78.3446	10.6429
5.6125	78.43028	10.64294
5.620834	78.51145	10.64295
5.629166	78.59915	10.64297
5.6375	78.6837	10.64302
5.645834	78.77906	10.64306
5.654168	78.86352	10.64304
5.6625	78.9425	10.64304
5.670832	79.01762	10.64306
5.679168	79.10089	10.64302
5.6875	79.18868	10.643
5.695832	79.27134	10.64302
5.704168	79.35451	10.64304
5.7125	79.43969	10.64304
5.720832	79.52298	10.64305
5.729166	79.60426	10.643
5.7375	79.69278	10.64293
5.745834	79.77184	10.64288
5.754166	79.85831	10.64282
5.7625	79.9437	10.64283
5.770834	80.02808	10.64279
5.779168	80.11272	10.64278
5.7875	80.19374	10.64278
5.795832	80.28085	10.64285
5.804168	80.36468	10.64285
5.8125	80.44861	10.64287
5.820832	80.5353	10.64292
5.829168	80.62042	10.64295
5.8375	80.70157	10.64299
5.845832	80.78676	10.64301
5.854166	80.86743	10.64304
5.8625	80.95265	10.64304
5.870834	81.04045	10.64304
5.879166	81.12394	10.64296
5.8875	81.206	10.64295
5.895834	81.28994	10.64306
5.904168	81.3731	10.64304
5.9125	81.4593	10.64305
5.920832	81.54666	10.64304
5.929168	81.62728	10.64305
5.9375	81.71	10.64304
5.945832	81.79422	10.64302
5.954168	81.87761	10.64301
5.9625	81.96594	10.64296
5.970832	82.0498	10.64291
5.979166	82.1336	10.64286
5.9875	82.21739	10.64284
5.995834	82.30162	10.64279
6.004166	82.38735	10.64281
6.0125	82.46939	10.64281
6.020834	82.55358	10.64281
6.029168	82.63941	10.64281
6.0375	82.72019	10.64282
6.045832	82.80295	10.64286
6.054168	82.88687	10.64288
6.0625	82.97134	10.64279
6.070832	83.05647	10.64283
6.079168	83.13793	10.64286
6.0875	83.22294	10.64286
6.095832	83.31652	10.64283
6.104166	83.41043	10.64281
6.1125	83.49516	10.64279
6.120834	83.57366	10.64277
6.129166	83.65866	10.64273
6.1375	83.737	10.64273
6.145834	83.81189	10.64275
6.154168	83.89699	10.64274
6.1625	83.98003	10.64271
6.170832	84.06461	10.64271
6.179168	84.14938	10.64274
6.1875	84.23446	10.64276
6.195832	84.31884	10.64279
6.204168	84.3991	10.6428
6.2125	84.48974	10.64281
6.220832	84.57665	10.64279
6.229166	84.65184	10.64278
6.2375	84.73782	10.64277
6.245834	84.82079	10.6428
6.254166	84.90328	10.64279
6.2625	84.98828	10.64278
6.270834	85.07234	10.64275
6.279168	85.15592	10.64272
6.2875	85.23808	10.64271
6.295832	85.32259	10.64271
6.304168	85.40555	10.64271
6.3125	85.49168	10.64271
6.320832	85.57519	10.6427
6.329168	85.65826	10.64267
6.3375	85.74306	10.64264
6.345832	85.82684	10.6426
6.354166	85.91272	10.64261
6.3625	85.99494	10.64262
6.370834	86.07965	10.64256
6.379166	86.16934	10.64253
6.3875	86.25994	10.6425
6.395834	86.33282	10.64249
6.404166	86.41701	10.64248
6.4125	86.50126	10.64248
6.420832	86.58536	10.64251
6.429168	86.66853	10.64252
6.4375	86.75242	10.6425
6.445832	86.83858	10.64248
6.454168	86.92228	10.64252
6.4625	87.0038	10.64252
6.470834	87.09598	10.64247
6.479166	87.18695	10.64246
6.4875	87.27232	10.64244
6.495834	87.35645	10.64239
6.504166	87.43774	10.64232
6.5125	87.51944	10.64229
6.520834	87.60619	10.64226
6.529166	87.69116	10.64224
6.5375	87.77141	10.64221
6.545832	87.85965	10.64222
6.554168	87.92603	10.64229
6.5625	88.00884	10.64228
6.570832	88.09442	10.64228
6.579168	88.18031	10.6423
6.5875	88.25975	10.64232
6.595834	88.34345	10.64229
6.604166	88.42853	10.64236
6.6125	88.51294	10.64237
6.620834	88.60005	10.64237
6.629166	88.68144	10.64239
6.6375	88.76578	10.64237
6.645834	88.84679	10.64232
6.654166	88.93472	10.64232
6.6625	89.01619	10.64229
6.670832	89.10312	10.64227
6.679168	89.18524	10.64226
6.6875	89.27128	10.64216
6.695832	89.35629	10.64211
6.704168	89.43363	10.64208
6.7125	89.52118	10.64209
6.720834	89.60508	10.64207
6.729166	89.68887	10.64204
6.7375	89.76874	10.64203
6.745834	89.85366	10.64203
6.754166	89.93889	10.64204
6.7625	90.02105	10.64204
6.770834	90.10481	10.64206
6.779166	90.19028	10.64205
6.7875	90.27499	10.64204
6.795832	90.3572	10.64198
6.804168	90.4416	10.64197
6.8125	90.52626	10.64199
6.820832	90.60961	10.64197
6.829168	90.69188	10.64194
6.8375	90.77735	10.64193
6.845834	90.86061	10.64195
6.854166	90.94512	10.64193
6.8625	91.02882	10.64195
6.870834	91.11212	10.64194
6.879166	91.19576	10.64195
6.8875	91.28019	10.64196
6.895834	91.36588	10.64194
6.904166	91.44989	10.64192
6.9125	91.53609	10.64193
6.920832	91.61524	10.64191
