Time (min)	Temperature (C)	Weight (mg)
6.879166	52.29876	11.01206
6.8875	52.3419	11.01204
6.895834	52.38452	11.01204
6.904166	52.42692	11.01204
6.9125	52.46838	11.01205
6.920832	52.51066	11.01204
6.929168	52.55084	11.01204
6.9375	52.59491	11.01207
6.945832	52.63622	11.0121
6.954168	52.679	11.01211
6.9625	52.72234	11.01218
6.970834	52.7638	11.01222
6.979166	52.80745	11.01224
6.9875	52.84951	11.01224
6.995834	52.8924	11.01223
7.004166	52.93234	11.01225
7.0125	52.97572	11.01227
7.020834	53.01844	11.01226
7.029166	53.05961	11.01226
7.0375	53.1016	11.01226
7.045832	53.14449	11.01226
7.054168	53.1842	11.01225
7.0625	53.22908	11.01225
7.070832	53.2684	11.01224
7.079168	53.30999	11.01224
7.0875	53.35408	11.01224
7.095834	53.3978	11.01222
7.104166	53.43666	11.01221
7.1125	53.47599	11.01218
7.120834	53.5203	11.01214
7.129166	53.56254	11.0121
7.1375	53.60412	11.01209
7.145834	53.65	11.01206
7.154166	53.68929	11.01206
7.1625	53.73386	11.01206
7.170832	53.77339	11.01203
7.179168	53.81402	11.01202
7.1875	53.85708	11.01199
7.195832	53.89893	11.01203
7.204168	53.94438	11.01209
7.2125	53.98526	11.01212
7.220834	54.02666	11.01215
7.229166	54.06948	11.01215
7.2375	54.11254	11.01217
7.245834	54.15312	11.01217
7.254166	54.19529	11.0122
7.2625	54.2374	11.01221
7.270834	54.28074	11.01222
7.279166	54.3183	11.01217
7.2875	54.36324	11.01212
7.295832	54.40612	11.01209
7.304168	54.44984	11.01207
7.3125	54.49192	11.01207
7.320832	54.53202	11.01207
7.329168	54.5732	11.0121
7.3375	54.61581	11.0121
7.345834	54.65783	11.01213
7.354166	54.7013	11.01217
7.3625	54.74139	11.01223
7.370834	54.78293	11.01228
7.379166	54.82626	11.01232
7.3875	54.87218	11.01235
7.395834	54.90988	11.01236
7.404166	54.9546	11.01236
7.4125	54.99192	11.01236
7.420832	55.03832	11.01236
7.429168	55.08033	11.01238
7.4375	55.1206	11.01235
7.445832	55.16222	11.01234
7.454168	55.20593	11.01233
7.4625	55.24692	11.01233
7.470834	55.28843	11.0123
7.479166	55.33268	11.01231
7.4875	55.37128	11.01229
7.495834	55.41641	11.01225
7.504166	55.4572	11.01223
7.5125	55.49832	11.01223
7.520834	55.54224	11.01223
7.529166	55.58632	11.01222
7.5375	55.62178	11.01221
7.545832	55.66724	11.01223
7.554168	55.7091	11.01226
7.5625	55.7531	11.01228
7.570832	55.79644	11.01233
7.579168	55.83504	11.01236
7.5875	55.88062	11.01236
7.595834	55.91967	11.01233
7.604166	55.96196	11.01235
7.6125	56.00793	11.01236
7.620834	56.04894	11.01238
7.629166	56.09126	11.01236
7.6375	56.13002	11.01233
7.645834	56.17387	11.01229
7.654166	56.21788	11.01227
7.6625	56.2596	11.01227
7.670832	56.29994	11.0123
