"Time (min)"	"Temperature (°C)"	"Weight (mg)"
5.579168	126.7011	20.32686
5.587500	126.8828	20.32579
5.595832	127.0529	20.32476
5.604166	127.2201	20.32375
5.612500	127.3900	20.32266
5.620834	127.5551	20.32156
5.629166	127.7225	20.32049
5.637500	127.8894	20.31942
5.645834	128.0595	20.31835
5.654168	128.2237	20.31728
5.662500	128.3824	20.31626
5.670832	128.5477	20.31526
5.679168	128.7270	20.31422
5.687500	128.8968	20.31314
5.695832	129.0652	20.31212
5.704168	129.2298	20.31110
5.712500	129.3998	20.31008
5.720832	129.5662	20.30905
5.729166	129.7357	20.30801
5.737500	129.8980	20.30698
5.745834	130.0598	20.30594
5.754166	130.2241	20.30486
5.762500	130.3936	20.30377
5.770834	130.5633	20.30271
5.779168	130.7290	20.30168
5.787500	130.8971	20.30062
5.795832	131.0634	20.29952
5.804168	131.2297	20.29838
5.812500	131.4003	20.29729
5.820832	131.5666	20.29621
5.829168	131.7334	20.29512
5.837500	131.9024	20.29407
5.845832	132.0682	20.29303
5.854166	132.2374	20.29196
5.862500	132.4052	20.29084
5.870834	132.5703	20.28974
5.879166	132.7384	20.28868
5.887500	132.9086	20.28766
5.895834	133.0759	20.28659
5.904168	133.2429	20.28553
5.912500	133.4248	20.28447
5.920832	133.5797	20.28340
5.929168	133.7481	20.28235
5.937500	133.9121	20.28129
5.945832	134.0802	20.28026
5.954168	134.2503	20.27923
5.962500	134.4144	20.27816
5.970832	134.5858	20.27710
5.979166	134.7627	20.27605
5.987500	134.9192	20.27491
5.995834	135.0828	20.27376
6.004166	135.2582	20.27260
6.012500	135.4217	20.27144
6.020834	135.5936	20.27034
6.029168	135.7581	20.26926
6.037500	135.9238	20.26819
6.045832	136.0906	20.26710
6.054168	136.2610	20.26602
6.062500	136.4266	20.26496
6.070832	136.5924	20.26398
6.079168	136.7635	20.26295
6.087500	136.9274	20.26193
6.095832	137.0986	20.26090
6.104166	137.2648	20.25984
6.112500	137.4329	20.25869
6.120834	137.5992	20.25751
6.129166	137.7686	20.25638
6.137500	137.9330	20.25528
6.145834	138.1033	20.25419
6.154168	138.2726	20.25308
6.162500	138.4371	20.25202
6.170832	138.6093	20.25093
6.179168	138.7741	20.24977
6.187500	138.9492	20.24860
6.195832	139.1189	20.24752
6.204168	139.2904	20.24650
6.212500	139.4579	20.24547
6.220832	139.6235	20.24440
6.229166	139.7930	20.24329
6.237500	139.9594	20.24216
6.245834	140.1272	20.24097
6.254166	140.2964	20.23975
6.262500	140.4572	20.23864
6.270834	140.6183	20.23756
6.279168	140.7834	20.23645
6.287500	140.9554	20.23530
6.295832	141.1220	20.23416
6.304168	141.2876	20.23300
6.312500	141.4535	20.23183
6.320832	141.6232	20.23069
6.329168	141.7908	20.22962
6.337500	141.9594	20.22860
6.345832	142.1264	20.22752
6.354166	142.2972	20.22640
6.362500	142.4628	20.22530
6.370834	142.6303	20.22420
6.379166	142.7992	20.22306
6.387500	142.9638	20.22194
6.395834	143.1327	20.22082
6.404166	143.3010	20.21974
6.412500	143.4728	20.21867
6.420832	143.6384	20.21755
6.429168	143.8050	20.21644
6.437500	143.9745	20.21534
6.445832	144.1395	20.21424
6.454168	144.3086	20.21312
6.462500	144.4740	20.21204
6.470834	144.6458	20.21096
6.479166	144.8138	20.20988
6.487500	144.9778	20.20872
6.495834	145.1468	20.20752
6.504166	145.3160	20.20641
6.512500	145.4829	20.20531
6.520834	145.6511	20.20419
6.529166	145.8160	20.20306
6.537500	145.9864	20.20192
6.545832	146.1541	20.20078
6.554168	146.3191	20.19965
6.562500	146.4908	20.19854
6.570832	146.6586	20.19745
6.579168	146.8245	20.19635
6.587500	146.9906	20.19525
6.595834	147.1590	20.19414
6.604166	147.3252	20.19299
6.612500	147.4934	20.19178
6.620834	147.6635	20.19058
6.629166	147.8300	20.18942
6.637500	147.9960	20.18828
6.645834	148.1669	20.18711
6.654166	148.3320	20.18592
6.662500	148.4995	20.18476
6.670832	148.6766	20.18357
6.679168	148.8335	20.18234
6.687500	149.0023	20.18114
6.695832	149.1689	20.18004
6.704168	149.3362	20.17894
6.712500	149.5048	20.17780
6.720834	149.6707	20.17660
6.729166	149.8392	20.17544
6.737500	150.0089	20.17430
6.745834	150.1762	20.17312
6.754166	150.3405	20.17196
6.762500	150.5099	20.17084
6.770834	150.6755	20.16972
6.779166	150.8442	20.16854
6.787500	151.0148	20.16735
6.795832	151.1813	20.16614
6.804168	151.3467	20.16495
6.812500	151.5146	20.16377
6.820832	151.6842	20.16256
6.829168	151.8524	20.16133
6.837500	152.0162	20.16008
6.845834	152.1953	20.15884
6.854166	152.3619	20.15766
6.862500	152.5312	20.15650
6.870834	152.6978	20.15536
6.879166	152.8640	20.15426
6.887500	153.0318	20.15312
6.895834	153.1997	20.15193
6.904166	153.3675	20.15077
6.912500	153.5349	20.14961
6.920832	153.7003	20.14844
6.929168	153.8673	20.14729
6.937500	154.0376	20.14612
6.945832	154.1948	20.14494
6.954168	154.3570	20.14367
6.962500	154.5258	20.14240
6.970834	154.6918	20.14118
6.979166	154.8593	20.13992
6.987500	155.0311	20.13866
6.995834	155.1939	20.13748
7.004166	155.3622	20.13629
7.012500	155.5338	20.13505
7.020834	155.7004	20.13381
7.029166	155.8661	20.13256
7.037500	156.0320	20.13137
7.045832	156.1978	20.13010
7.054168	156.3678	20.12884
7.062500	156.5342	20.12763
7.070832	156.7012	20.12638
7.079168	156.8682	20.12510
7.087500	157.0354	20.12380
7.095834	157.2012	20.12255
7.104166	157.3708	20.12130
7.112500	157.5423	20.12003
7.120834	157.7056	20.11882
7.129166	157.8725	20.11765
7.137500	158.0424	20.11644
7.145834	158.2052	20.11521
7.154166	158.3756	20.11400
7.162500	158.5425	20.11280
7.170832	158.7086	20.11162
7.179168	158.8785	20.11041
7.187500	159.0527	20.10917
7.195832	159.2137	20.10788
7.204168	159.3810	20.10652
7.212500	159.5476	20.10518
7.220834	159.7174	20.10391
7.229166	159.8811	20.10268
7.237500	160.0503	20.10147
7.245834	160.2154	20.10025
7.254166	160.3866	20.09894
7.262500	160.5520	20.09764
7.270834	160.7181	20.09637
7.279166	160.8863	20.09516
7.287500	161.0513	20.09400
7.295832	161.2256	20.09285
7.304168	161.3879	20.09164
7.312500	161.5581	20.09041
7.320832	161.7246	20.08912
7.329168	161.8927	20.08784
7.337500	162.0592	20.08664
7.345834	162.2323	20.08540
7.354166	162.3966	20.08412
7.362500	162.5656	20.08283
7.370834	162.7312	20.08153
7.379166	162.9016	20.08018
7.387500	163.0663	20.07880
7.395834	163.2354	20.07747
7.404166	163.4022	20.07616
7.412500	163.5680	20.07486
7.420832	163.7372	20.07360
7.429168	163.9046	20.07237
7.437500	164.0732	20.07109
7.445832	164.2390	20.06976
7.454168	164.4041	20.06852
7.462500	164.5758	20.06731
7.470834	164.7446	20.06608
7.479166	164.9108	20.06483
7.487500	165.0790	20.06356
7.495834	165.2451	20.06229
7.504166	165.4158	20.06099
7.512500	165.5818	20.05966
7.520834	165.7478	20.05840
7.529166	165.9178	20.05722
7.537500	166.0823	20.05592
7.545832	166.2525	20.05460
7.554168	166.4190	20.05331
7.562500	166.5837	20.05200
7.570832	166.7519	20.05070
7.579168	166.9216	20.04942
7.587500	167.0882	20.04813
7.595834	167.2576	20.04683
7.604166	167.4234	20.04554
7.612500	167.5917	20.04420
